Country,Total Records,contract_nr,contract_value_terms,reference,contract_value_highest,tenderer_addr,contract_value_initial,behalf_of,procedure_type,duration,authority_type,contract_value_initial_vat,electronic,id,contract_value_initial_currency,award_date,contract_value_currency,contract_id,gpa_covered,title,framework_dps,notice_date,previous_notices,authority_addr,contract_value_initial_terms,contract_value_lowest,scope,contract_value,type,object,description,total_value,authority_ref,tenderer_name,legal_basis,contract_value_text,authority_name,appeals_info,score_chosen_tender,award_criteria,publication_date,num_offers,total_value_highest,additional_info,appeals_body,language,likely_subcontracted,total_value_vat,eu_funds,uri,lot_nr_title,contract_value_vat,services_covered,award_type,involves,total_value_text,total_value_lowest,dac_code,total_value_currency,cpv
AF,3,0,0,1,0,3,0,1,2,1,2,0,1,3,0,2,3,2,2,2,0,3,3,3,0,0,0,3,2,0,1,1,1,3,1,3,3,0,0,2,0,3,0,1,0,0,1,1,0,3,0,1,0,0,0,1,0,0,1,2
AL,52,0,0,48,0,49,0,0,0,46,0,0,0,52,0,0,48,47,0,0,0,48,46,48,0,0,0,48,1,1,0,0,0,49,46,49,48,0,19,0,0,47,0,0,0,0,0,0,0,52,38,0,0,0,0,0,0,0,0,0
AM,8,0,0,6,0,6,0,0,0,6,0,0,0,8,0,0,6,6,0,0,0,6,6,6,0,0,0,6,0,0,0,0,0,6,5,6,6,0,3,0,0,6,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
AN,3,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,3,3,3,3,0,1,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
AO,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AR,35,0,1,34,0,33,1,1,1,32,1,1,1,35,1,3,32,33,1,1,1,35,33,35,0,0,0,32,1,0,1,1,1,33,34,35,35,0,10,1,0,35,0,1,1,0,1,1,1,35,31,1,1,0,0,1,0,0,1,1
AT,14197,0,1292,0,109,13450,2379,63,92,1,89,2252,94,14197,2396,85,7956,11455,92,94,37,94,90,14197,44,161,0,7927,94,0,13697,7445,83,13450,0,8902,14197,41,0,81,0,84,164,70,137,1,85,7315,86,14197,0,7701,40,0,13,7934,217,0,7456,14193
AW,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AZ,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BA,138,0,1,106,0,110,2,2,5,101,5,1,3,138,2,8,107,105,5,5,2,103,86,106,0,0,0,107,5,0,3,3,3,110,87,111,106,2,32,3,3,108,0,2,3,0,3,2,3,138,86,2,1,0,0,3,0,3,3,5
BD,22,0,0,9,0,22,1,7,12,9,12,1,10,22,1,12,13,19,11,12,7,21,20,22,0,0,0,13,12,0,12,2,8,22,9,14,22,1,6,11,0,21,0,3,3,0,10,2,11,22,5,3,7,0,2,2,0,0,2,13
BE,27293,10,2692,565,331,26099,7110,1568,2819,506,2624,6495,2793,27293,7149,2927,15214,24140,2725,2819,844,3093,2930,26727,54,373,0,15102,2871,69,25831,13723,2682,26099,520,18279,26727,1029,379,2686,351,3176,269,680,2396,5,2405,13690,2659,27293,590,14556,1523,0,631,14775,292,194,13776,26157
BF,6,0,0,5,0,6,1,0,0,5,0,1,0,6,1,0,5,5,0,0,0,5,4,6,0,0,0,5,0,0,1,0,0,6,5,6,6,0,4,0,0,5,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1
BG,31512,0,19434,0,24,31384,5852,3,12,2,10,6127,12,31512,6334,12,30520,31160,10,12,0,12,12,31511,40,23,0,26985,12,0,31236,27066,6,31384,0,31023,31511,2,0,9,0,11,40,7,84,0,10,30472,11,31512,0,29459,4,0,1,30768,40,0,30726,31511
BI,13,0,1,10,0,13,1,0,2,10,2,1,2,13,1,1,11,10,0,2,0,12,6,13,0,0,0,11,2,0,3,2,2,13,10,11,13,0,4,2,0,10,0,0,0,0,0,1,0,13,10,1,0,0,1,2,0,0,2,3
