Country,Total Records,contract_nr,contract_value_terms,reference,contract_value_highest,tenderer_addr,contract_value_initial,behalf_of,procedure_type,duration,authority_type,contract_value_initial_vat,electronic,id,contract_value_initial_currency,award_date,contract_value_currency,contract_id,gpa_covered,title,framework_dps,notice_date,previous_notices,authority_addr,contract_value_initial_terms,contract_value_lowest,scope,contract_value,type,object,description,total_value,authority_ref,tenderer_name,legal_basis,contract_value_text,authority_name,appeals_info,score_chosen_tender,award_criteria,publication_date,num_offers,total_value_highest,additional_info,appeals_body,language,likely_subcontracted,total_value_vat,eu_funds,uri,lot_nr_title,contract_value_vat,services_covered,award_type,involves,total_value_text,total_value_lowest,dac_code,total_value_currency,cpv
AF,3,0.00,0.00,33.33,0.00,100.00,0.00,33.33,66.67,33.33,66.67,0.00,33.33,100.00,0.00,66.67,100.00,66.67,66.67,66.67,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,66.67,0.00,33.33,33.33,33.33,100.00,33.33,100.00,100.00,0.00,0.00,66.67,0.00,100.00,0.00,33.33,0.00,0.00,33.33,33.33,0.00,100.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,33.33,66.67
AL,52,0.00,0.00,92.31,0.00,94.23,0.00,0.00,0.00,88.46,0.00,0.00,0.00,100.00,0.00,0.00,92.31,90.38,0.00,0.00,0.00,92.31,88.46,92.31,0.00,0.00,0.00,92.31,1.92,1.92,0.00,0.00,0.00,94.23,88.46,94.23,92.31,0.00,36.54,0.00,0.00,90.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,73.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AM,8,0.00,0.00,75.00,0.00,75.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,100.00,0.00,0.00,75.00,75.00,0.00,0.00,0.00,75.00,75.00,75.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,75.00,62.50,75.00,75.00,0.00,37.50,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AN,3,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,33.33,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AO,1,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR,35,0.00,2.86,97.14,0.00,94.29,2.86,2.86,2.86,91.43,2.86,2.86,2.86,100.00,2.86,8.57,91.43,94.29,2.86,2.86,2.86,100.00,94.29,100.00,0.00,0.00,0.00,91.43,2.86,0.00,2.86,2.86,2.86,94.29,97.14,100.00,100.00,0.00,28.57,2.86,0.00,100.00,0.00,2.86,2.86,0.00,2.86,2.86,2.86,100.00,88.57,2.86,2.86,0.00,0.00,2.86,0.00,0.00,2.86,2.86
AT,14197,0.00,9.10,0.00,0.77,94.74,16.76,0.44,0.65,0.01,0.63,15.86,0.66,100.00,16.88,0.60,56.04,80.69,0.65,0.66,0.26,0.66,0.63,100.00,0.31,1.13,0.00,55.84,0.66,0.00,96.48,52.44,0.58,94.74,0.00,62.70,100.00,0.29,0.00,0.57,0.00,0.59,1.16,0.49,0.96,0.01,0.60,51.52,0.61,100.00,0.00,54.24,0.28,0.00,0.09,55.89,1.53,0.00,52.52,99.97
AW,1,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AZ,1,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BA,138,0.00,0.72,76.81,0.00,79.71,1.45,1.45,3.62,73.19,3.62,0.72,2.17,100.00,1.45,5.80,77.54,76.09,3.62,3.62,1.45,74.64,62.32,76.81,0.00,0.00,0.00,77.54,3.62,0.00,2.17,2.17,2.17,79.71,63.04,80.43,76.81,1.45,23.19,2.17,2.17,78.26,0.00,1.45,2.17,0.00,2.17,1.45,2.17,100.00,62.32,1.45,0.72,0.00,0.00,2.17,0.00,2.17,2.17,3.62
BD,22,0.00,0.00,40.91,0.00,100.00,4.55,31.82,54.55,40.91,54.55,4.55,45.45,100.00,4.55,54.55,59.09,86.36,50.00,54.55,31.82,95.45,90.91,100.00,0.00,0.00,0.00,59.09,54.55,0.00,54.55,9.09,36.36,100.00,40.91,63.64,100.00,4.55,27.27,50.00,0.00,95.45,0.00,13.64,13.64,0.00,45.45,9.09,50.00,100.00,22.73,13.64,31.82,0.00,9.09,9.09,0.00,0.00,9.09,59.09
BE,27293,0.04,9.86,2.07,1.21,95.63,26.05,5.75,10.33,1.85,9.61,23.80,10.23,100.00,26.19,10.72,55.74,88.45,9.98,10.33,3.09,11.33,10.74,97.93,0.20,1.37,0.00,55.33,10.52,0.25,94.64,50.28,9.83,95.63,1.91,66.97,97.93,3.77,1.39,9.84,1.29,11.64,0.99,2.49,8.78,0.02,8.81,50.16,9.74,100.00,2.16,53.33,5.58,0.00,2.31,54.13,1.07,0.71,50.47,95.84
BF,6,0.00,0.00,83.33,0.00,100.00,16.67,0.00,0.00,83.33,0.00,16.67,0.00,100.00,16.67,0.00,83.33,83.33,0.00,0.00,0.00,83.33,66.67,100.00,0.00,0.00,0.00,83.33,0.00,0.00,16.67,0.00,0.00,100.00,83.33,100.00,100.00,0.00,66.67,0.00,0.00,83.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
BG,31512,0.00,61.67,0.00,0.08,99.59,18.57,0.01,0.04,0.01,0.03,19.44,0.04,100.00,20.10,0.04,96.85,98.88,0.03,0.04,0.00,0.04,0.04,100.00,0.13,0.07,0.00,85.63,0.04,0.00,99.12,85.89,0.02,99.59,0.00,98.45,100.00,0.01,0.00,0.03,0.00,0.03,0.13,0.02,0.27,0.00,0.03,96.70,0.03,100.00,0.00,93.49,0.01,0.00,0.00,97.64,0.13,0.00,97.51,100.00
BI,13,0.00,7.69,76.92,0.00,100.00,7.69,0.00,15.38,76.92,15.38,7.69,15.38,100.00,7.69,7.69,84.62,76.92,0.00,15.38,0.00,92.31,46.15,100.00,0.00,0.00,0.00,84.62,15.38,0.00,23.08,15.38,15.38,100.00,76.92,84.62,100.00,0.00,30.77,15.38,0.00,76.92,0.00,0.00,0.00,0.00,0.00,7.69,0.00,100.00,76.92,7.69,0.00,0.00,7.69,15.38,0.00,0.00,15.38,23.08
BJ,10,0.00,0.00,10.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,10.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,10.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,10.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
BO,7,0.00,0.00,42.86,0.00,100.00,14.29,14.29,42.86,42.86,42.86,14.29,14.29,100.00,14.29,14.29,57.14,100.00,14.29,42.86,0.00,85.71,85.71,100.00,0.00,0.00,0.00,57.14,42.86,0.00,57.14,14.29,42.86,100.00,28.57,57.14,100.00,14.29,42.86,14.29,0.00,57.14,0.00,28.57,14.29,0.00,14.29,14.29,0.00,100.00,14.29,14.29,14.29,0.00,0.00,14.29,0.00,0.00,14.29,57.14
BR,11,0.00,9.09,90.91,0.00,90.91,0.00,0.00,0.00,81.82,0.00,0.00,0.00,100.00,0.00,0.00,90.91,100.00,0.00,0.00,0.00,90.91,81.82,100.00,0.00,0.00,0.00,90.91,0.00,0.00,9.09,0.00,0.00,90.91,72.73,100.00,100.00,0.00,45.45,0.00,0.00,90.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,54.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09
BW,1,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BY,12,0.00,0.00,75.00,0.00,83.33,8.33,0.00,16.67,75.00,16.67,8.33,16.67,100.00,8.33,0.00,83.33,91.67,0.00,16.67,0.00,91.67,75.00,100.00,0.00,0.00,0.00,83.33,16.67,0.00,25.00,8.33,0.00,83.33,75.00,83.33,100.00,0.00,33.33,0.00,0.00,75.00,0.00,0.00,0.00,0.00,16.67,8.33,16.67,100.00,58.33,8.33,16.67,0.00,0.00,8.33,0.00,0.00,8.33,25.00
BZ,4,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00,50.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,50.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CD,19,0.00,0.00,42.11,0.00,94.74,5.26,0.00,0.00,42.11,0.00,5.26,0.00,100.00,5.26,26.32,89.47,73.68,0.00,0.00,0.00,42.11,15.79,100.00,0.00,0.00,0.00,89.47,0.00,0.00,57.89,31.58,0.00,94.74,42.11,94.74,100.00,0.00,10.53,0.00,0.00,42.11,5.26,0.00,0.00,0.00,0.00,31.58,0.00,100.00,42.11,31.58,0.00,0.00,0.00,31.58,5.26,0.00,31.58,57.89
CF,1,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00
CG,5,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,100.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,20.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
