"Number of URIs that exist in document table but not awards table, grouped by country and year"
Country,Year,Number Missing
AF,2009,14
AF,2010,14
AF,2011,22
AF,2012,19
AF,2013,3
AG,2011,1
AL,2009,64
AL,2010,68
AL,2011,33
AL,2012,42
AL,2013,21
AM,2009,9
AM,2010,7
AM,2011,16
AM,2012,21
AM,2013,16
AN,2009,9
AN,2010,7
AN,2011,4
AO,2009,5
AO,2010,3
AO,2011,13
AO,2012,3
AR,2009,27
AR,2010,14
AR,2011,19
AR,2012,17
AR,2013,12
AT,2009,4426
AT,2010,4226
AT,2011,4573
AT,2012,4581
AT,2013,1462
AU,2010,2
AW,2009,5
AW,2011,1
AX,2010,1
AZ,2009,3
AZ,2010,1
AZ,2011,1
AZ,2012,4
AZ,2013,2
BA,2009,112
BA,2010,100
BA,2011,81
BA,2012,107
BA,2013,30
BB,2009,9
BD,2009,7
BD,2010,18
BD,2011,8
BD,2012,10
BD,2013,1
BE,2009,7818
BE,2010,7459
BE,2011,8382
BE,2012,8336
BE,2013,2419
BF,2009,11
BF,2010,16
BF,2011,16
BF,2012,10
BF,2013,2
BG,2009,2319
BG,2010,2629
BG,2011,3219
BG,2012,4226
BG,2013,2444
BI,2009,27
BI,2010,14
BI,2011,32
BI,2012,11
BI,2013,3
BJ,2009,18
BJ,2010,11
BJ,2011,10
BJ,2012,17
BJ,2013,6
BO,2009,4
BO,2010,15
BO,2011,5
BO,2012,7
BO,2013,1
BR,2009,2
BR,2010,11
BR,2011,8
BR,2012,2
BS,2011,1
BW,2009,11
BW,2010,2
BW,2011,3
BW,2012,5
BW,2013,1
BY,2009,7
BY,2010,4
BY,2011,18
BY,2012,28
BY,2013,10
BZ,2009,17
BZ,2010,11
BZ,2012,6
BZ,2013,2
CA,2009,2
CD,2009,12
CD,2010,56
CD,2011,24
CD,2012,65
CD,2013,11
CF,2009,16
CF,2010,1
CF,2012,8
CG,2009,19
CG,2010,7
CG,2011,6
CG,2012,20
CG,2013,9
CH,2009,562
CH,2010,1478
CH,2011,1325
CH,2012,1399
CH,2013,470
CI,2009,20
CI,2010,12
CI,2011,18
CI,2012,20
CI,2013,10
CM,2009,19
CM,2010,16
CM,2011,26
CM,2012,10
CM,2013,2
CN,2009,15
CN,2010,6
CN,2011,11
CN,2012,17
CN,2013,10
CO,2009,5
CO,2010,9
CO,2011,33
CO,2012,18
CO,2013,2
CR,2009,1
CR,2010,1
CR,2011,10
CR,2012,2
CR,2013,2
CU,2010,1
CV,2009,2
CV,2010,2
CV,2011,5
CY,2009,738
CY,2010,680
CY,2011,727
CY,2012,611
CY,2013,198
CZ,2009,4227
CZ,2010,4728
CZ,2011,6045
CZ,2012,11115
CZ,2013,4441
DE,2009,27283
DE,2010,28184
DE,2011,28771
DE,2012,29459
DE,2013,9678
DJ,2009,3
DJ,2010,7
DJ,2011,12
DJ,2012,17
DJ,2013,4
DK,2009,2636
DK,2010,3244
DK,2011,3791
DK,2012,4301
DK,2013,1271
DM,2009,3
DM,2010,7
DM,2011,4
DO,2009,4
DO,2010,6
DO,2011,4
DZ,2009,22
DZ,2010,16
DZ,2011,9
DZ,2012,41
DZ,2013,18
EC,2010,3
EC,2013,1
EE,2009,792
EE,2010,1276
EE,2011,1553
EE,2012,1891
EE,2013,553
EG,2009,19
EG,2010,28
EG,2011,37
EG,2012,8
EG,2013,6
ER,2009,7
ER,2010,10
ER,2011,1
ES,2009,15680
ES,2010,14725
ES,2011,12674
ES,2012,10527
ES,2013,3294
ET,2009,41
ET,2010,33
ET,2011,14
ET,2012,18
ET,2013,5
FI,2009,3726
FI,2010,4167
FI,2011,4537
FI,2012,4732
FI,2013,1754
FJ,2009,1
FJ,2010,4
FJ,2011,1
FM,2012,2
FM,2013,1
FR,2009,53795
FR,2010,56654
FR,2011,57385
FR,2012,55676
FR,2013,17114
GA,2010,1
GA,2011,2
GA,2012,8
GA,2013,1
GB,2009,17056
GB,2010,2242
GD,2009,2
GD,2013,1
GE,2009,46
GE,2010,36
GE,2011,45
GE,2012,33
GE,2013,14
GH,2009,6
GH,2010,11
GH,2011,19
GH,2012,13
GH,2013,3
GI,2009,8
GI,2010,7
GI,2011,11
GI,2012,9
GI,2013,4
GM,2009,4
GM,2010,4
GM,2011,5
GM,2012,5
GM,2013,1
GN,2009,2
GN,2010,2
GN,2011,8
GN,2012,2
GN,2013,2
GR,2009,4080
GR,2010,4891
GR,2011,3403
GR,2012,4115
GR,2013,1257
GT,2009,20
GT,2010,7
GT,2011,6
GT,2012,15
GT,2013,11
GW,2009,1
GW,2010,2
GW,2012,1
GY,2009,10
GY,2010,10
GY,2011,10
GY,2012,6
HN,2009,10
HN,2010,12
HN,2011,7
HN,2012,6
HN,2013,16
HR,2009,188
HR,2010,131
HR,2011,160
HR,2012,138
HR,2013,37
HT,2009,5
HT,2010,8
HT,2011,5
HT,2012,6
HU,2009,3651
HU,2010,3873
HU,2011,3987
HU,2012,2853
HU,2013,1011
ID,2009,5
ID,2010,10
ID,2011,8
ID,2012,3
ID,2013,3
IE,2009,1696
IE,2010,1756
IE,2011,1839
IE,2012,1752
IE,2013,516
IL,2009,9
IL,2010,4
IL,2011,4
IL,2012,1
IL,2013,6
IN,2009,14
IN,2010,4
IN,2011,20
IN,2012,20
IN,2013,10
IQ,2010,4
IQ,2011,7
IQ,2012,5
IQ,2013,1
IS,2009,148
IS,2010,114
IS,2011,165
IS,2012,184
IS,2013,76
IT,2009,13140
IT,2010,13508
IT,2011,13564
IT,2012,12307
IT,2013,3685
JM,2009,4
JM,2010,17
JM,2011,3
JM,2012,1
JM,2013,3
JO,2009,3
JO,2010,13
JO,2011,7
JO,2012,24
JO,2013,6
JP,2009,13
JP,2010,6
JP,2011,13
JP,2012,4
KE,2009,10
KE,2010,22
KE,2011,22
KE,2012,25
KE,2013,6
KG,2009,9
KG,2010,6
KG,2011,20
KG,2012,17
KG,2013,4
KH,2009,5
KH,2010,2
KH,2013,1
KI,2010,1
KI,2011,1
KI,2012,6
KM,2010,9
KM,2011,4
KM,2012,4
KM,2013,1
KN,2009,1
KN,2012,5
KN,2013,1
KP,2009,4
KP,2011,2
KP,2012,8
KP,2013,1
KR,2011,2
KY,2009,3
KY,2010,1
KY,2011,2
KY,2012,1
KZ,2009,31
KZ,2010,26
KZ,2011,32
KZ,2012,19
KZ,2013,1
LA,2009,2
LA,2010,1
LB,2009,18
LB,2010,13
LB,2011,11
LB,2012,22
LB,2013,17
LC,2009,5
LC,2010,4
LC,2011,6
LC,2012,6
LI,2009,46
LI,2010,28
LI,2011,15
LI,2012,8
LI,2013,3
LK,2009,1
LK,2012,3
LR,2009,2
LR,2011,4
LR,2012,2
LR,2013,3
LS,2009,3
LS,2010,7
LS,2011,1
LS,2012,7
LS,2013,1
LT,2009,1918
LT,2010,2555
LT,2011,3385
LT,2012,3799
LT,2013,1300
LU,2009,996
LU,2010,833
LU,2011,752
LU,2012,777
LU,2013,298
LV,2009,1032
LV,2010,1253
LV,2011,1768
LV,2012,1999
LV,2013,603
MA,2009,25
MA,2010,25
MA,2011,30
MA,2012,44
MA,2013,18
MC,2012,2
MD,2009,16
MD,2010,18
MD,2011,25
MD,2012,37
MD,2013,11
ME,2009,57
ME,2010,34
ME,2011,56
ME,2012,35
ME,2013,23
MG,2009,16
